ID,model,engine_power,age_in_days,km,previous_owners,lat,lon,price,concadtBC,len(no_of_char),sumif,averageif,countifs
1,lounge,51,882,25000,1,44.90724182,8.611559868,8900,lounge 51,6,987.5188017,4984.645543,1
2,pop,51,1186,32500,1,45.66635895,12.24188995,8800,pop 51,3,1295.908249,6085.415464,1
3,sport,74,4658,142228,1,45.50329971,11.41784,4200,sport 74,5,8989.92114,21603.13159,1
4,lounge,51,2739,160000,1,40.63317108,17.63460922,6000,lounge 51,6,2849.26778,24122.03825,1
5,pop,73,3074,106880,1,41.90322113,12.49565029,5700,pop 73,3,3202.398871,16540.62841,1
6,pop,74,3623,70225,1,45.0007019,7.68227005,7900,pop 74,3,3750.682972,11696.81185,1
7,lounge,51,731,11600,1,44.90724182,8.611559868,10750,lounge 51,6,836.5188017,3313.074115,1
8,lounge,51,1521,49076,1,41.90322113,12.49565029,9190,lounge 51,6,1627.398871,8556.914124,1
9,sport,73,4049,76000,1,45.54800034,11.54946995,5600,sport 73,5,4180.09747,12254.87107,1
10,sport,51,3653,89000,1,45.43830109,10.99170017,6000,sport 51,5,3761.430001,14109.34714,1
11,pop,51,790,43286,1,40.87142944,14.43896008,8950,pop 51,3,897.3103895,7590.758627,1
12,lounge,51,366,17500,1,45.06967926,7.704919815,10990,lounge 51,6,470.7745991,4137.9678,1
13,lounge,51,456,18450,1,45.42657089,11.78812981,9700,lounge 51,6,565.2147007,4102.887814,1
14,pop,51,3835,120000,1,40.53158951,17.43615913,4800,pop 51,3,8744.967749,18392.42396,1
15,lounge,51,1035,40500,1,40.91136169,14.21119976,9300,lounge 51,6,1142.122561,7278.160366,1
16,lounge,51,1096,28200,1,45.6972084,9.845970154,9500,lounge 51,6,1203.543179,5558.363311,1
17,lounge,73,4200,110000,1,41.08235168,14.25424957,5250,lounge 73,6,4329.336601,17083.47666,1
18,pop,51,2223,96848,1,43.78237152,11.25498962,7990,pop 51,3,2330.037361,15310.00534,1
19,lounge,51,2861,31000,1,45.06967926,7.704919815,7300,lounge 51,6,2965.774599,5895.824943,1
20,lounge,51,425,20030,1,45.35438919,11.86925983,10500,lounge 51,6,534.223649,4438.460521,1
21,lounge,51,397,19037,1,45.70724869,11.4776001,10500,lounge 51,6,506.1848488,4292.597836,1
22,lounge,51,1886,110000,1,40.83581161,14.50440979,6990,lounge 51,6,1993.340221,16998.33432,1
23,lounge,51,1035,8000,1,44.50608826,12.04417038,10600,lounge 51,6,1143.550259,2821.221466,1
24,lounge,51,790,27595,1,45.68825912,8.731450081,10200,lounge 51,6,896.4197092,5528.059958,1
25,lounge,51,1583,14900,1,45.06967926,7.704919815,9990,lounge 51,6,1687.774599,3797.539228,1
26,lounge,51,366,9218,1,45.43811035,12.31814957,10800,lounge 51,6,475.7562599,2928.393751,1
